artist,asin,media,review_count,star_rating,title,year
Mystic Circle,B000025Q50,Audio CD,2,4,Morgenrote - Der Schrei Nach Finsternis,1996
Shining,B08JHDMTL1,"Vinyl,MP3 Music",4,3.6,X - Varg Utan Flock Ltd. Gold,2020
HELRUNAR / ARSTIDIR LIFSINS,B00DHG1XX2,Vinyl,3,3.7,Fragments,2013
Judas Priest,B000F4U9U2,"Audio CD,Audio CD",4,3.6,A Tribute to Judas Priest : Legends of Metal Vol. 2,1996
Twilight,B000UTLUL4,"MP3 Music,Audio CD",11,3.4,Twilight,2005
Verrett,B000AMWIT4,Audio CD,9,3.4,Bizet: Carmen,", et al."
Underoath,B07WHF2V56,"Vinyl,MP3 Music",3,3.5,Erase Me (Limited Edition Green w/ Black Splatter Colored Vinyl),
Einherjer,B09X7BX9YH,"Audio CD,Vinyl",3,3.5,Aurora Borealis / Leve Vikingånden,2022
Nightfall,B08NVGHKZL,"Audio CD,Vinyl",3,3.5,Diva Futura + Electronegative,2021
Sacred Reich,B000FMPPKI,Audio CD,3,3.5,Taste The Blade : 15 Years of Metal Blade Records (2-CD set),1997
Beherit,B07XWHNZJH,"Vinyl,Audio CD,Vinyl",3,3.5,"H418Ov21.C (12"" LP)",
Secrets of the Moon,B01KBI3F66,Audio CD,3,3.5,The Church by Krieg,2001
Secrets of the Moon,B00005K8PM,Audio CD,3,3.5,"Dancing, Dreaming, Longing",2001
Burzum,B005AXTDWI,,9,3.3,Hlioskjalf,2005
